RAM ADDRESS  |   ACTION   |          BINARY
     928            m           11010     00          00
     653            w           01000     11          01
     81             w           00101     00          01
     854            m           10101     01          10
     865            r           10110     00          01
     993            m           11110     00          01
     506            w           11111     10          10
     965            w           11100     01          01
     654            m           01000     11          10
     35             r           00010     00          11
     875            r           10110     10          11
     731            r           01101     10          11
     911            r           11000     11          11
     512            w           00000     00          00
     445            r           11011     11          01
     906            m           11000     10          10
     464            w           11101     00          00
     331            r           10100     10          11
     80             m           00101     00          00
     293            m           10010     01          01
     67             w           00100     00          11
     377            w           10111     10          01
     837            r           10100     01          01
     482            r           11110     00          10
     987            m           11101     10          11
     36             m           00010     01          00
     517            m           00000     01          01
     351            r           10101     11          11
     530            m           00001     00          10
     905            m           11000     10          01
     440            m           11011     10          00
     794            w           10001     10          10
     868            r           10110     01          00
     265            r           10000     10          01
     975            m           11100     11          11
     248            r           01111     10          00
     466            m           11101     00          10
     940            m           11010     11          00
     123            r           00111     10          11
     447            r           11011     11          11
     864            r           10110     00          00
     665            r           01001     10          01
     307            w           10011     00          11
     924            r           11001     11          00
     151            r           01001     01          11
     927            w           11001     11          11
     818            r           10011     00          10
     670            r           01001     11          10
     772            r           10000     01          00
     431            w           11010     11          11
     503            r           11111     01          11
     824            w           10011     10          00
     951            m           11011     01          11
     864            r           10110     00          00
     451            m           11100     00          11
     195            w           01100     00          11
     453            m           11100     01          01
     362            r           10110     10          10
     543            r           00001     11          11
     1018           r           11111     10          10
     198            w           01100     01          10
     299            m           10010     10          11
     83             m           00101     00          11
     380            r           10111     11          00
     855            m           10101     01          11
     806            w           10010     01          10
     495            w           11110     11          11
     78             w           00100     11          10
     409            r           11001     10          01
     382            w           10111     11          10
     838            r           10100     01          10
     86             r           00101     01          10
     945            w           11011     00          01
     639            m           00111     11          11
     494            w           11110     11          10
     225            w           01110     00          01
     70             m           00100     01          10
     790            w           10001     01          10
     834            m           10100     00          10
     798            m           10001     11          10
     774            w           10000     01          10
     340            w           10101     01          00
     736            r           01110     00          00
     160            w           01010     00          00
     801            m           10010     00          01
     751            m           01110     11          11
     300            m           10010     11          00
     480            r           11110     00          00
     460            m           11100     11          00
     960            w           11100     00          00
     459            m           11100     10          11
     185            w           01011     10          01
     192            m           01100     00          00
     70             r           00100     01          10
     552            m           00010     10          00
     746            m           01110     10          10
     184            r           01011     10          00
     34             m           00010     00          10
     1010           r           11111     00          10
     152            r           01001     10          00
     1015           m           11111     01          11
     153            w           01001     10          01
     924            r           11001     11          00
     713            m           01100     10          01
     191            w           01011     11          11
     790            m           10001     01          10
     732            r           01101     11          00
     490            m           11110     10          10
     987            r           11101     10          11
     933            w           11010     01          01
     812            w           10010     11          00
     74             r           00100     10          10
     790            w           10001     01          10
     888            m           10111     10          00
     76             r           00100     11          00
     157            r           01001     11          01
     962            r           11100     00          10
     870            m           10110     01          10
     702            m           01011     11          10
     122            w           00111     10          10
     306            w           10011     00          10
     615            w           00110     01          11
     585            w           00100     10          01
     732            m           01101     11          00
     832            m           10100     00          00
     26             r           00001     10          10
     119            w           00111     01          11
     677            m           01010     01          01
     200            w           01100     10          00
     831            r           10011     11          11
     791            w           10001     01          11
     278            w           10001     01          10
     554            m           00010     10          10
     61             r           00011     11          01
     699            m           01011     10          11
     89             w           00101     10          01
     972            m           11100     11          00
     925            w           11001     11          01
     315            w           10011     10          11
     504            m           11111     10          00
     150            w           01001     01          10
     140            r           01000     11          00
     48             r           00011     00          00
     355            r           10110     00          11
     117            r           00111     01          01
     861            r           10101     11          01
     890            r           10111     10          10
     621            m           00110     11          01
     729            r           01101     10          01
     5              r           00000     01          01
     955            w           11011     10          11
     975            m           11100     11          11
     310            w           10011     01          10
     158            r           01001     11          10
     218            w           01101     10          10
     420            m           11010     01          00
     390            m           11000     01          10
     997            w           11110     01          01
     128            r           01000     00          00
     1003           w           11110     10          11
     197            w           01100     01          01
     956            r           11011     11          00
     158            w           01001     11          10
     265            w           10000     10          01
     372            w           10111     01          00
     936            r           11010     10          00
     485            r           11110     01          01
     69             m           00100     01          01
     536            r           00001     10          00
     852            m           10101     01          00
     589            w           00100     11          01
     73             r           00100     10          01
     952            r           11011     10          00
     268            w           10000     11          00
     911            r           11000     11          11
     423            m           11010     01          11
     98             m           00110     00          10
     66             m           00100     00          10
     427            r           11010     10          11
     338            r           10101     00          10
     422            w           11010     01          10
     13             w           00000     11          01
     354            w           10110     00          10
     801            m           10010     00          01
     792            w           10001     10          00
     421            m           11010     01          01
     701            r           01011     11          01
     80             w           00101     00          00
     211            w           01101     00          11
     745            m           01110     10          01
     900            w           11000     01          00
     510            w           11111     11          10
     497            m           11111     00          01
     217            w           01101     10          01
     456            w           11100     10          00
     944            m           11011     00          00
     788            m           10001     01          00
     540            m           00001     11          00
     602            m           00101     10          10
     460            w           11100     11          00
     225            r           01110     00          01
     379            w           10111     10          11
     849            r           10101     00          01
     31             r           00001     11          11
     640            m           01000     00          00
     100            r           00110     01          00
     648            w           01000     10          00
     88             r           00101     10          00
     29             m           00001     11          01
     360            f           
     29             r           00001     11          01
     139            r           01000     10          11
     361            r           10110     10          01
     701            r           01011     11          01
     244            w           01111     01          00
     431            r           11010     11          11
     25             m           00001     10          01
     189            w           01011     11          01
     306            r           10011     00          10
     544            r           00010     00          00
     614            w           00110     01          10
     101            m           00110     01          01
     706            m           01100     00          10
     29             w           00001     11          01
     395            r           11000     10          11
     471            m           11101     01          11
     979            m           11101     00          11
     75             r           00100     10          11
     75             r           00100     10          11
     728            w           01101     10          00
     344            m           10101     10          00
     49             m           00011     00          01
     361            m           10110     10          01
     339            m           10101     00          11
     391            m           11000     01          11
     186            m           01011     10          10
     558            r           00010     11          10
     468            r           11101     01          00
     603            m           00101     10          11
     182            r           01011     01          10
     230            r           01110     01          10
     526            m           00000     11          10
     18             r           00001     00          10
     856            r           10101     10          00
     867            r           10110     00          11
     853            w           10101     01          01
     943            m           11010     11          11
     697            m           01011     10          01
     376            m           10111     10          00
     292            r           10010     01          00
     377            w           10111     10          01
     596            w           00101     01          00
     895            r           10111     11          11
     921            w           11001     10          01
     890            m           10111     10          10
     393            r           11000     10          01
     212            w           01101     01          00
     500            m           11111     01          00
     1              w           00000     00          01
     539            r           00001     10          11
     600            r           00101     10          00
     284            r           10001     11          00
     33             r           00010     00          01
     689            r           01011     00          01
     239            m           01110     11          11
     538            m           00001     10          10
     560            r           00011     00          00
     344            w           10101     10          00
     2              r           00000     00          10
     156            m           01001     11          00
     72             w           00100     10          00
     511            m           11111     11          11
     1021           m           11111     11          01
     371            r           10111     00          11
     713            m           01100     10          01
     250            w           01111     10          10
     210            w           01101     00          10
     278            r           10001     01          10
     725            m           01101     01          01
     384            r           11000     00          00
     117            w           00111     01          01
     540            w           00001     11          00
     211            m           01101     00          11
     45             w           00010     11          01
     350            r           10101     11          10
     966            m           11100     01          10
     749            m           01110     11          01
     385            r           11000     00          01
     267            m           10000     10          11
     114            w           00111     00          10
     913            m           11001     00          01
     94             w           00101     11          10
     635            r           00111     10          11
     41             r           00010     10          01
     1012           m           11111     01          00
     142            w           01000     11          10
     179            r           01011     00          11
     787            m           10001     00          11
     650            m           01000     10          10
     315            w           10011     10          11
     316            m           10011     11          00
     1021           r           11111     11          01
     400            m           11001     00          00
     885            m           10111     01          01
     675            w           01010     00          11
     730            w           01101     10          10
     386            w           11000     00          10
     176            w           01011     00          00
     760            m           01111     10          00
     830            m           10011     11          10
     933            m           11010     01          01
     323            m           10100     00          11
     592            r           00101     00          00
     741            r           01110     01          01
     127            r           00111     11          11
     746            m           01110     10          10
     324            r           10100     01          00
     42             m           00010     10          10
     601            r           00101     10          01
     836            w           10100     01          00
     879            w           10110     11          11
     145            m           01001     00          01
     964            m           11100     01          00
     598            m           00101     01          10
     500            r           11111     01          00
     830            w           10011     11          10
     529            w           00001     00          01
     263            w           10000     01          11
     501            w           11111     01          01
     891            w           10111     10          11
     983            r           11101     01          11
     930            w           11010     00          10
     797            w           10001     11          01
     822            w           10011     01          10
     881            m           10111     00          01
     87             r           00101     01          11
     535            r           00001     01          11
     384            w           11000     00          00
     382            r           10111     11          10
     442            m           11011     10          10
     789            m           10001     01          01
     271            r           10000     11          11
     863            w           10101     11          11
     322            w           10100     00          10
     74             r           00100     10          10
     701            m           01011     11          01
     445            w           11011     11          01
     459            m           11100     10          11
     112            w           00111     00          00
     7              m           00000     01          11
     768            w           10000     00          00
     533            m           00001     01          01
     323            m           10100     00          11
     399            w           11000     11          11
     473            r           11101     10          01
     834            r           10100     00          10
     515            w           00000     00          11
     411            w           11001     10          11
     952            w           11011     10          00
     860            r           10101     11          00
     502            r           11111     01          10
     659            m           01001     00          11
     855            w           10101     01          11
     973            m           11100     11          01
     740            r           01110     01          00
     391            m           11000     01          11
     813            w           10010     11          01
     997            m           11110     01          01
     922            m           11001     10          10
     167            m           01010     01          11
     1020           r           11111     11          00
     856            r           10101     10          00
     615            r           00110     01          11
     456            w           11100     10          00
     836            m           10100     01          00
     189            r           01011     11          01
     930            m           11010     00          10
     230            m           01110     01          10
     461            r           11100     11          01
     16             m           00001     00          00
     34             w           00010     00          10
     668            r           01001     11          00
     545            r           00010     00          01
     305            r           10011     00          01
     964            r           11100     01          00
     686            m           01010     11          10
     783            r           10000     11          11
     611            w           00110     00          11
     1001           w           11110     10          01
     640            m           01000     00          00
     554            w           00010     10          10
     717            r           01100     11          01
     501            m           11111     01          01
     924            m           11001     11          00
     584            r           00100     10          00
     253            m           01111     11          01
     465            m           11101     00          01
     560            r           00011     00          00
     516            m           00000     01          00
     352            w           10110     00          00
     106            w           00110     10          10
     910            w           11000     11          10
     572            w           00011     11          00
     203            r           01100     10          11
     560            w           00011     00          00
     170            w           01010     10          10
     147            r           01001     00          11
     757            m           01111     01          01
     408            r           11001     10          00
     159            r           01001     11          11
     496            r           11111     00          00
     250            m           01111     10          10
     410            w           11001     10          10
     810            w           10010     10          10
     253            w           01111     11          01
     986            m           11101     10          10
     52             r           00011     01          00
     813            w           10010     11          01
     169            r           01010     10          01
     759            r           01111     01          11
     229            w           01110     01          01
     302            r           10010     11          10
     678            m           01010     01          10
     667            w           01001     10          11
     818            r           10011     00          10
     469            m           11101     01          01
     492            w           11110     11          00
     624            w           00111     00          00
     293            r           10010     01          01
     114            w           00111     00          10
     308            w           10011     01          00
     6              w           00000     01          10
     457            m           11100     10          01
     373            m           10111     01          01
     382            r           10111     11          10
     337            m           10101     00          01
     943            r           11010     11          11
     244            r           01111     01          00
     140            r           01000     11          00
     809            m           10010     10          01
     876            w           10110     11          00
     296            m           10010     10          00
     869            w           10110     01          01
     968            m           11100     10          00
     537            r           00001     10          01
     240            r           01111     00          00
     210            m           01101     00          10
     334            m           10100     11          10
     978            r           11101     00          10
     588            w           00100     11          00
     996            r           11110     01          00
     64             w           00100     00          00
     567            r           00011     01          11
     227            m           01110     00          11
     620            w           00110     11          00
     517            w           00000     01          01
     750            m           01110     11          10
     127            m           00111     11          11
     898            w           11000     00          10
     872            w           10110     10          00
     543            w           00001     11          11
     908            w           11000     11          00
     511            m           11111     11          11
     793            w           10001     10          01
     246            m           01111     01          10
     412            r           11001     11          00
     771            r           10000     00          11
     44             m           00010     11          00
     37             m           00010     01          01
     485            r           11110     01          01
     111            w           00110     11          11
     153            m           01001     10          01
     607            m           00101     11          11
     449            m           11100     00          01
     876            w           10110     11          00
     954            m           11011     10          10
     734            w           01101     11          10
     814            m           10010     11          10
     738            w           01110     00          10
     208            r           01101     00          00
     990            w           11101     11          10
     844            w           10100     11          00
     514            m           00000     00          10
     381            r           10111     11          01
     288            r           10010     00          00
     225            w           01110     00          01
     701            r           01011     11          01
     75             r           00100     10          11
     616            w           00110     10          00
     728            m           01101     10          00
     74             r           00100     10          10
     804            w           10010     01          00
     511            m           11111     11          11
     702            w           01011     11          10
     420            r           11010     01          00
     473            r           11101     10          01
     817            w           10011     00          01
     836            r           10100     01          00
     9              m           00000     10          01
     156            w           01001     11          00
     208            m           01101     00          00
     704            w           01100     00          00
     381            m           10111     11          01
     645            m           01000     01          01
     944            w           11011     00          00
     427            m           11010     10          11
     837            r           10100     01          01
     16             r           00001     00          00
     297            m           10010     10          01
     292            w           10010     01          00
     108            m           00110     11          00
     413            m           11001     11          01
     408            m           11001     10          00
     364            w           10110     11          00
     66             r           00100     00          10
     495            m           11110     11          11
     734            f           
     104            r           00110     10          00
     216            m           01101     10          00
     174            m           01010     11          10
     736            w           01110     00          00
     34             w           00010     00          10
     389            m           11000     01          01
     229            r           01110     01          01
     517            r           00000     01          01
     328            w           10100     10          00
     355            w           10110     00          11
     900            w           11000     01          00
     443            r           11011     10          11
     428            r           11010     11          00
     467            w           11101     00          11
     479            w           11101     11          11
     754            r           01111     00          10
     706            w           01100     00          10
     245            w           01111     01          01
     45             r           00010     11          01
     159            m           01001     11          11
     37             r           00010     01          01
     49             w           00011     00          01
     11             w           00000     10          11
     570            w           00011     10          10
     530            r           00001     00          10
     689            r           01011     00          01
     759            r           01111     01          11
     577            w           00100     00          01
     1004           w           11110     11          00
     996            m           11110     01          00
     213            r           01101     01          01
     179            m           01011     00          11
     694            m           01011     01          10
     509            r           11111     11          01
     620            m           00110     11          00
     406            m           11001     01          10
     924            m           11001     11          00
     113            w           00111     00          01
     1002           m           11110     10          10
     881            r           10111     00          01
     619            r           00110     10          11
     637            r           00111     11          01
     860            m           10101     11          00
     467            m           11101     00          11
     20             w           00001     01          00
     414            m           11001     11          10
     823            w           10011     01          11
     970            m           11100     10          10
     301            m           10010     11          01
     23             w           00001     01          11
     210            w           01101     00          10
     620            r           00110     11          00
     111            r           00110     11          11
     879            r           10110     11          11
     746            w           01110     10          10
     850            r           10101     00          10
     313            r           10011     10          01
     751            r           01110     11          11
     28             m           00001     11          00
     792            m           10001     10          00
     524            w           00000     11          00
     552            r           00010     10          00
     366            w           10110     11          10
     990            r           11101     11          10
     781            m           10000     11          01
     876            r           10110     11          00
     199            w           01100     01          11
     970            m           11100     10          10
     135            m           01000     01          11
     592            r           00101     00          00
     883            r           10111     00          11
     900            m           11000     01          00
     358            m           10110     01          10
     561            w           00011     00          01
     160            m           01010     00          00
     185            r           01011     10          01
     444            m           11011     11          00
     171            w           01010     10          11
     995            m           11110     00          11
     152            m           01001     10          00
     320            m           10100     00          00
     35             r           00010     00          11
     947            m           11011     00          11
     600            r           00101     10          00
     458            w           11100     10          10
     575            r           00011     11          11
     1005           r           11110     11          01
     432            r           11011     00          00
     472            m           11101     10          00
     616            r           00110     10          00
     79             m           00100     11          11
     349            r           10101     11          01
     780            r           10000     11          00
     79             w           00100     11          11
     765            w           01111     11          01
     416            m           11010     00          00
     172            r           01010     11          00
     613            m           00110     01          01
     767            w           01111     11          11
     701            r           01011     11          01
     545            r           00010     00          01
     98             w           00110     00          10
     704            r           01100     00          00
     893            r           10111     11          01
     377            w           10111     10          01
     447            w           11011     11          11
     656            w           01001     00          00
     941            m           11010     11          01
     485            m           11110     01          01
     59             m           00011     10          11
     803            r           10010     00          11
     669            m           01001     11          01
     571            r           00011     10          11
     602            r           00101     10          10
     17             w           00001     00          01
     418            w           11010     00          10
     884            r           10111     01          00
     481            r           11110     00          01
     596            r           00101     01          00
     660            w           01001     01          00
     815            m           10010     11          11
     604            w           00101     11          00
     717            m           01100     11          01
     592            w           00101     00          00
     557            m           00010     11          01
     920            w           11001     10          00
     191            m           01011     11          11
     824            w           10011     10          00
     724            w           01101     01          00
     41             r           00010     10          01
     82             r           00101     00          10
     942            m           11010     11          10
     940            m           11010     11          00
     997            m           11110     01          01
     273            m           10001     00          01
     156            m           01001     11          00
     484            m           11110     01          00
     615            w           00110     01          11
     109            r           00110     11          01
     1007           w           11110     11          11
     974            w           11100     11          10
     397            w           11000     11          01
     56             w           00011     10          00
     792            m           10001     10          00
     862            w           10101     11          10
     1019           w           11111     10          11
     298            m           10010     10          10
     394            m           11000     10          10
     175            w           01010     11          11
     918            w           11001     01          10
     352            m           10110     00          00
     830            w           10011     11          10
     127            m           00111     11          11
     9              r           00000     10          01
     728            r           01101     10          00
     818            m           10011     00          10
     686            r           01010     11          10
     323            r           10100     00          11
     502            w           11111     01          10
     485            r           11110     01          01
     195            m           01100     00          11
     503            r           11111     01          11
     2              w           00000     00          10
     989            m           11101     11          01
     103            r           00110     01          11
     539            r           00001     10          11
     423            m           11010     01          11
     34             w           00010     00          10
     488            r           11110     10          00
     361            m           10110     10          01
     373            w           10111     01          01
     704            r           01100     00          00
     695            r           01011     01          11
     482            m           11110     00          10
     609            m           00110     00          01
     841            r           10100     10          01
     1002           m           11110     10          10
     582            r           00100     01          10
     576            w           00100     00          00
     848            w           10101     00          00
     187            r           01011     10          11
     157            w           01001     11          01
     79             r           00100     11          11
     239            m           01110     11          11
     263            w           10000     01          11
     177            r           01011     00          01
     942            m           11010     11          10
     322            m           10100     00          10
     975            m           11100     11          11
     657            w           01001     00          01
     481            m           11110     00          01
     746            m           01110     10          10
     443            r           11011     10          11
     271            w           10000     11          11
     334            r           10100     11          10
     139            r           01000     10          11
     914            r           11001     00          10
     67             r           00100     00          11
     961            w           11100     00          01
     846            w           10100     11          10
     196            w           01100     01          00
     6              w           00000     01          10
     234            m           01110     10          10
     351            w           10101     11          11
     480            r           11110     00          00
     632            w           00111     10          00
     222            w           01101     11          10
     112            r           00111     00          00
     798            w           10001     11          10
     635            m           00111     10          11
     658            w           01001     00          10
     53             m           00011     01          01
     726            w           01101     01          10
     566            w           00011     01          10
     612            w           00110     01          00
     230            w           01110     01          10
     7              m           00000     01          11
     402            r           11001     00          10
     146            w           01001     00          10
     448            r           11100     00          00
     209            w           01101     00          01
     192            m           01100     00          00
     960            r           11100     00          00
     900            r           11000     01          00
     251            r           01111     10          11
     690            w           01011     00          10
     886            m           10111     01          10
     758            m           01111     01          10
     110            r           00110     11          10
     925            m           11001     11          01
     671            m           01001     11          11
     864            r           10110     00          00
     440            m           11011     10          00
     893            m           10111     11          01
     524            m           00000     11          00
     269            m           10000     11          01
     138            m           01000     10          10
     145            m           01001     00          01
     751            r           01110     11          11
     974            w           11100     11          10
     58             r           00011     10          10
     475            r           11101     10          11
     352            r           10110     00          00
     376            r           10111     10          00
     578            r           00100     00          10
     417            m           11010     00          01
     732            m           01101     11          00
     99             m           00110     00          11
     191            r           01011     11          11
     1007           m           11110     11          11
     193            w           01100     00          01
     493            m           11110     11          01
     243            r           01111     00          11
     274            m           10001     00          10
     723            w           01101     00          11
     245            r           01111     01          01
     451            m           11100     00          11
     30             m           00001     11          10
     442            m           11011     10          10
     96             w           00110     00          00
     570            w           00011     10          10
     362            m           10110     10          10
     386            w           11000     00          10
     408            w           11001     10          00
     4              w           00000     01          00
     271            w           10000     11          11
     25             w           00001     10          01
     776            m           10000     10          00
     500            w           11111     01          00
     364            w           10110     11          00
     980            r           11101     01          00
     674            w           01010     00          10
     638            m           00111     11          10
     420            w           11010     01          00
     491            r           11110     10          11
     89             w           00101     10          01
     574            w           00011     11          10
     31             r           00001     11          11
     249            w           01111     10          01
     166            r           01010     01          10
     623            r           00110     11          11
     261            m           10000     01          01
     893            m           10111     11          01
     775            m           10000     01          11
     885            m           10111     01          01
     198            w           01100     01          10
     603            m           00101     10          11
     124            m           00111     11          00
     852            w           10101     01          00
     661            r           01001     01          01
     859            w           10101     10          11
     521            w           00000     10          01
     54             r           00011     01          10
     744            w           01110     10          00
     936            r           11010     10          00
     823            m           10011     01          11
     745            r           01110     10          01
     506            m           11111     10          10
     595            w           00101     00          11
     146            m           01001     00          10
     350            w           10101     11          10
     585            w           00100     10          01
     718            r           01100     11          10
     556            w           00010     11          00
     299            r           10010     10          11
     793            r           10001     10          01
     882            f           
     536            w           00001     10          00
     522            w           00000     10          10
     750            r           01110     11          10
     1017           w           11111     10          01
     752            r           01111     00          00
     88             m           00101     10          00
     534            m           00001     01          10
     4              w           00000     01          00
     592            r           00101     00          00
     919            r           11001     01          11
     285            w           10001     11          01
     407            m           11001     01          11
     857            r           10101     10          01
     237            m           01110     11          01
     854            r           10101     01          10
     920            w           11001     10          00
     303            m           10010     11          11
     418            w           11010     00          10
     345            m           10101     10          01
     83             w           00101     00          11
     379            w           10111     10          11
     422            r           11010     01          10
     896            r           11000     00          00
     1017           m           11111     10          01
     746            w           01110     10          10
     520            w           00000     10          00
     105            r           00110     10          01
     796            w           10001     11          00
     940            m           11010     11          00
     896            r           11000     00          00
     887            r           10111     01          11
     309            m           10011     01          01
     1014           r           11111     01          10
     230            m           01110     01          10
     849            r           10101     00          01
     798            r           10001     11          10
     128            r           01000     00          00
     441            w           11011     10          01
     97             m           00110     00          01
     409            m           11001     10          01
     263            r           10000     01          11
     154            w           01001     10          10
     853            m           10101     01          01
     967            r           11100     01          11
     716            m           01100     11          00
     462            w           11100     11          10
     930            m           11010     00          10
     433            r           11011     00          01
     788            m           10001     01          00
     447            w           11011     11          11
     509            w           11111     11          01
     707            m           01100     00          11
     422            r           11010     01          10
     891            w           10111     10          11
     736            r           01110     00          00
     75             w           00100     10          11
     848            m           10101     00          00
     819            r           10011     00          11
     267            m           10000     10          11
     1023           r           11111     11          11
     99             m           00110     00          11
     189            m           01011     11          01
     0              r           00000     00          00
     628            m           00111     01          00
     818            m           10011     00          10
     531            r           00001     00          11
     645            w           01000     01          01
     424            r           11010     10          00
     662            m           01001     01          10
     466            r           11101     00          10
     294            r           10010     01          10
     889            w           10111     10          01
     109            m           00110     11          01
     444            r           11011     11          00
     176            w           01011     00          00
     43             r           00010     10          11
     22             m           00001     01          10
     311            r           10011     01          11
     184            w           01011     10          00
     230            r           01110     01          10
     247            w           01111     01          11
     972            r           11100     11          00
     530            m           00001     00          10
     566            r           00011     01          10
     248            w           01111     10          00
     936            m           11010     10          00
     346            r           10101     10          10
     650            m           01000     10          10
     773            m           10000     01          01
     30             r           00001     11          10
     367            m           10110     11          11
     181            w           01011     01          01
     399            m           11000     11          11
     35             w           00010     00          11
     498            m           11111     00          10
     624            w           00111     00          00
     268            w           10000     11          00
     208            w           01101     00          00
     460            m           11100     11          00
     725            m           01101     01          01
     627            w           00111     00          11
     996            w           11110     01          00
     421            r           11010     01          01
     230            r           01110     01          10
     448            r           11100     00          00
     575            m           00011     11          11
     622            r           00110     11          10
     516            m           00000     01          00
     118            m           00111     01          10
     616            m           00110     10          00
     984            m           11101     10          00
     120            m           00111     10          00
     24             m           00001     10          00
     777            w           10000     10          01
     730            w           01101     10          10
     494            r           11110     11          10
     175            m           01010     11          11
     366            m           10110     11          10
     47             r           00010     11          11
     501            r           11111     01          01
     840            w           10100     10          00
     9              m           00000     10          01
     725            r           01101     01          01
     128            r           01000     00          00
     114            r           00111     00          10
     240            w           01111     00          00
     655            m           01000     11          11
     104            r           00110     10          00
     708            m           01100     01          00
     93             m           00101     11          01
     612            m           00110     01          00
     487            r           11110     01          11
     341            m           10101     01          01
     814            w           10010     11          10
     799            r           10001     11          11
     286            r           10001     11          10
     578            m           00100     00          10
     355            r           10110     00          11
     461            m           11100     11          01
     145            w           01001     00          01
     300            r           10010     11          00
     162            m           01010     00          10
     578            w           00100     00          10
     934            w           11010     01          10
     440            r           11011     10          00
     694            w           01011     01          10
     404            m           11001     01          00
     298            m           10010     10          10
     525            m           00000     11          01
     12             w           00000     11          00
     157            m           01001     11          01
     460            r           11100     11          00
     345            m           10101     10          01
     564            r           00011     01          00
     638            m           00111     11          10
     671            m           01001     11          11
     588            m           00100     11          00
     614            w           00110     01          10
     791            m           10001     01          11
     924            w           11001     11          00
     411            w           11001     10          11
     1019           r           11111     10          11
     400            m           11001     00          00
     541            r           00001     11          01
     126            m           00111     11          10
     752            w           01111     00          00
     723            m           01101     00          11
     868            w           10110     01          00
     819            m           10011     00          11
     614            m           00110     01          10
     15             m           00000     11          11
     786            w           10001     00          10
     889            r           10111     10          01
     804            w           10010     01          00
     310            w           10011     01          10
     432            r           11011     00          00
     789            w           10001     01          01
     532            w           00001     01          00
     896            r           11000     00          00
     810            m           10010     10          10
     593            r           00101     00          01
     706            m           01100     00          10
     999            m           11110     01          11
     335            r           10100     11          11
     632            m           00111     10          00
     480            w           11110     00          00
     424            r           11010     10          00
     594            w           00101     00          10
     91             m           00101     10          11
     964            w           11100     01          00
     200            w           01100     10          00
     844            w           10100     11          00
     720            m           01101     00          00
     744            r           01110     10          00
     141            r           01000     11          01
     696            r           01011     10          00
     301            r           10010     11          01
     618            r           00110     10          10
     513            m           00000     00          01
     757            r           01111     01          01
     465            m           11101     00          01
     138            r           01000     10          10
     627            m           00111     00          11
     199            r           01100     01          11
     155            w           01001     10          11
     303            w           10010     11          11
     501            w           11111     01          01
     471            w           11101     01          11
     369            w           10111     00          01
     97             w           00110     00          01
     479            m           11101     11          11
     814            m           10010     11          10
     699            m           01011     10          11
     208            w           01101     00          00
     842            r           10100     10          10
     958            r           11011     11          10
     998            r           11110     01          10
     588            r           00100     11          00
     405            r           11001     01          01
     730            r           01101     10          10
     993            r           11110     00          01
     75             m           00100     10          11
     228            w           01110     01          00
     697            r           01011     10          01
     931            m           11010     00          11
     102            r           00110     01          10
     157            w           01001     11          01
     758            m           01111     01          10
     163            w           01010     00          11
     220            w           01101     11          00
     489            w           11110     10          01
     787            m           10001     00          11
     862            m           10101     11          10
     782            w           10000     11          10
     569            m           00011     10          01
     241            w           01111     00          01
     468            r           11101     01          00
